Cambridgeshire,PE
Norfolk ,PE
Perth and Kinross,PH
Perthshire ,PH
Inverness-shire ,PH
Highland,PH
Argyllshire ,PH
Devon ,PL
Cornwall ,PL
Hampshire ,PO
Sussex ,PO
Monmouthshire,PO
Isle of Wight,PO
Lancashire ,PR
Berkshire ,RG
Hampshire ,RG
Oxfordshire ,RG
Surrey ,RH
Sussex ,RH
Essex ,RM
South Yorkshire,S
Derbyshire ,S
Nottinghamshire ,S
Swansea ,SA
Glamorgan ,SA
Carmarthenshire ,SA
Carmarthenshire,SA
Pembrokeshire ,SA
Ceredigion,SA
Ceredigion ,SA
Pembrokeshire,SA
London ,SE
Hertfordshire ,SG
Hertfordshire,SG
Bedfordshire ,SG
Cheshire ,SK
Derbyshire ,SK
Buckinghamshire ,SL
Berkshire ,SL
Surrey ,SM
Wiltshire ,SN
Berkshire ,SN
Hampshire ,SO
Wiltshire ,SP
Hampshire ,SP
Dorset ,SP
County Durham ,SR
Essex ,SS
Staffordshire ,ST
Staffordshire,ST
London ,SW
London ,SWA
London ,SWE
London ,SWH
London ,SWP
London ,SWV
London ,SWW
London ,SWX
London ,SWY
Shropshire ,SY
Cheshire ,SY
Powys,SY
Montgomeryshire ,SY
Ceredigion ,SY
Somerset ,TA
Selkirkshire ,TD
Berwickshire ,TD
Northumberland ,TD
Roxburghshire ,TD
Scottish Borders,TD
Shropshire ,TF
Kent ,TN
Sussex ,TN
East Sussex ,TN
Devon ,TQ
Cornwall ,TR
Isles of Scilly ,TR
North Yorkshire,TS
County Durham ,TS
Middlesex ,TW
Surrey ,TW
Middlesex ,UB
London ,W
London ,WB
London ,WC
London ,WD
London ,WF
London ,WG
London ,WH
London ,WJ
London ,WK
London,WM
London ,WS
London ,WT
London ,WU
London ,WW
Lancashire ,WA
Merseyside ,WA
Cheshire ,WA
London ,WCA
London ,WCB
London ,WCE
London ,WCH
London ,WCN
London ,WCR
London ,WCV
London ,WCX
Hertfordshire ,WD
West Yorkshire,WF
Lancashire ,WN
Worcestershire,WR
Worcestershire ,WR
Staffordshire ,WS
Staffordshire ,WV
Shropshire ,WV
North Yorkshire,YO
East Yorkshire,YO
Shetland ,ZE
